"id","exam_id","text","options","correct_answer","question_order","topic_id"
"ap-2025-q012","ap-2025-autumn-morning","IaC (Infrastructure as Code) の説明として，適切なものはどれか。","[""OS，仮想化ソフトなどが何もインストールされていない，初期状態のサーバである。"",""サーバなどの新規利用申請があった場合に，資源の割当て，設定などを手動で行い，利用可能な状態にする。"",""システムの構成，設定などをプログラムとして記述し，専用のソフトウェアがその内容に従って自動的にシステムに適用する。"",""利用者は，OS，アプリケーションなどの任意のソフトウェアをインフラストラクチャに手動で実装し，操作することができる。""]","2","12",
"ap-2025-q013","ap-2025-autumn-morning","コンピュータシステムの信頼性に関する記述のうち，適切なものはどれか。","[""$\\frac{\\text{MTBF}}{\\text{MTBF} + \\text{MTTR}}$ は，システムが稼働している時間の割合を表す。"",""MTBF－MTTR は，システムが正常であった時間を表す。"",""MTBF は，正常なシステムが運用を開始してから初めて故障が起きるまでの時間を表す。"",""MTTR は，システムの故障が回復した時点から次に故障が起きるまでの平均時間を表す。""]","0","13",
"ap-2025-q014","ap-2025-autumn-morning","キャパシティプランニングの目的の一つに関する記述のうち，最も適切なものはどれか。","[""応答時間に最も影響があるボトルネックだけに着目して，適切な変更を行うことによって，そのボトルネックの影響を低減又は排除することである。"",""システムの現在の応答時間を調査して，長期的に監視することによって，将来を含めて応答時間を維持することである。"",""ソフトウェアとハードウェアをチューニングして，現状の処理能力を最大限に引き出して，スループットを向上させることである。"",""パフォーマンスの問題はリソースの過剰使用によって発生するので，特定のリソースの有効利用を向上させることである。""]","1","14",
"ap-2025-q015","ap-2025-autumn-morning","五つのジョブ A～E に対して，ジョブの多重度が 1 で，処理時間順方式のスケジューリングを適用した場合，ジョブ B のターンアラウンドタイムは何秒か。ここで，OS のオーバーヘッドは考慮しないものとする。

単位 秒
| ジョブ | 到着時刻 | 単独実行時の処理時間 |
|---|---|---|
| A | 0 | 2 |
| B | 1 | 4 |
| C | 2 | 3 |
| D | 3 | 2 |
| E | 4 | 1 |","[""8"",""9"",""10"",""11""]","3","15",
"ap-2025-q016","ap-2025-autumn-morning","一つの I<sup>2</sup>C バスに接続された二つのセンサーがある。それぞれのセンサー値を読み込む二つのタスクを排他的に制御したい。利用するリアルタイム OS の機能として、適切なものはどれか。","[""キュー"",""セマフォ"",""マルチスレッド"",""メモリプール""]","1","16",
"ap-2025-q017","ap-2025-autumn-morning","スレッドセーフの説明として、適切なものはどれか。","[""アプリケーションが複数のスレッドから呼び出されないようになっている。"",""アプリケーションを複数のスレッドではなく、単一のスレッドで動作させる。"",""アプリケーションを複数のスレッドで並列に実行しても、問題が生じない。"",""スレッドの競合が発生したときに、アプリケーションを安全に停止させる。""]","2","17",
"ap-2025-q018","ap-2025-autumn-morning","二つのタスクが共用する二つの資源を排他的に使用するとき、デッドロックが発生するおそれがある。このデッドロックの発生を防ぐ方法はどれか。","[""一方のタスクの優先度を高くする。"",""資源獲得の順序を両方のタスクで同じにする。"",""資源獲得の順序を両方のタスクで逆にする。"",""両方のタスクの優先度を同じにする。""]","1","18",
"ap-2025-q019","ap-2025-autumn-morning","4ブロックのキャッシュメモリ C0 〜 C3 が表に示す状態である。ここで，新たに別のブロックの内容をキャッシュメモリにロードする必要が生じたとき，C2 のブロックを置換の対象とするアルゴリズムはどれか。

| キャッシュメモリ | ロード時刻 (分:秒) | 最終参照時刻 (分:秒) | 参照回数 |
|---|---|---|---|
| C0 | 0:00 | 0:08 | 10 |
| C1 | 0:03 | 0:06 | 1 |
| C2 | 0:04 | 0:05 | 3 |
| C3 | 0:05 | 0:10 | 5 |","[""FIFO"",""LFU"",""LIFO"",""LRU""]","3","19",
"ap-2025-q020","ap-2025-autumn-morning","図の LED 点灯回路において，LED に 10 ミリ A の電流が流れるように抵抗値を決定したときに，回路全体の消費電力に占める LED の消費電力の割合は何%か。ここで，LED の順方向電圧は 2V とし，電源の消費電力は無視するものとする。

![LED circuit diagram showing a 10V power source, an LED, and a resistor in series.](page_12_image_1_v2.jpg)","[""20"",""25"",""80"",""100""]","0","20",
"ap-2025-q021","ap-2025-autumn-morning","組込みシステムのプログラムで，放された状態では 0 になり，押された状態では 1 になるスイッチの値を読み込んでいる。このプログラムによって，スイッチの値は周期的に適切なタイミングで読み込まれ，チャタリング処理などの適切な処理が行われるものとし，a が今回の値で，b が前回の値とする。このスイッチが放された状態から押された状態に変化したことを検出するための論理式はどれか。ここで，“$\cdot$” は論理積，“$+$” は論理和，“$\overline{\phantom{x}}$” は論理否定を表す。","[""$a \\cdot \\overline{b}$"",""$\\overline{a} \\cdot b$"",""$a + \\overline{b}$"",""$\\overline{a} + b$""]","0","21",
"ap-2025-q022","ap-2025-autumn-morning","入力が A と B，出力が Y の論理回路を動作させたとき，図のタイミングチャートが得られた。この論理回路として，適切なものはどれか。

![Timing chart showing inputs A, B and output Y over time](page_13_image_1_v2.jpg)","[""<img src=\""page_13_image_4_v2.jpg\"" alt=\""Logic gate diagram for option ア\"">"",""<img src=\""page_13_image_5_v2.jpg\"" alt=\""Logic gate diagram for option イ\"">"",""<img src=\""page_13_image_6_v2.jpg\"" alt=\""Logic gate diagram for option ウ\"">"",""<img src=\""page_13_image_3_v2.jpg\"" alt=\""Logic gate diagram for option エ\"">""]","2","22",
"ap-2025-q023","ap-2025-autumn-morning","16 ビットのダウンカウンターを用い，カウンターの値が 0 になると割込みを発生するハードウェアタイマーがある。カウンターに初期値として 10 進数の 150 をセットしてタイマーをスタートすると，最初の割込みが発生するまでの時間は何マイクロ秒か。ここで，タイマーの入力クロック周波数は 16 MHz を 32 分周したものとする。","[""0.3"",""2"",""150"",""300""]","3","23",
"ap-2025-q024","ap-2025-autumn-morning","画面サイズの制約によって，レイアウト上，常にメニューを表示しておくことが難しいときに使用する仕組みであって，三本線のアイコンを選択するとメニューが表示されるものはどれか。","[""アコーディオンメニュー"",""ドロップダウンメニュー"",""ハンバーガーメニュー"",""ポップアップメニュー""]","2","24",
"ap-2025-q025","ap-2025-autumn-morning","0 kHz〜20 kHz の帯域幅のオーディオ信号をデジタル信号に変換するのに必要な最大のサンプリング周期を標本化定理によって求めると，何マイクロ秒か。","[""2.5"",""5"",""25"",""50""]","2","25",
"ap-2025-q026","ap-2025-autumn-morning","BASE 特性を満たし，次の特徴をもつ NoSQL データベースシステムに関する記述のうち，適切なものはどれか。

〔NoSQL データベースシステムの特徴〕
・ネットワーク上に分散した複数のノードから構成される。
・一つのノードでデータを更新した後，他の全てのノードにその更新を反映する。","[""クライアントからの更新要求を 2 相コミットによって全てのノードに反映する。"",""データの更新結果は，システムに障害がなければ，いつかは全てのノードに反映される。"",""同一の主キーの値による同時の参照要求に対し，全てのノードは同じ結果を返す。"",""ノード間のネットワークが分断されると，クライアントからの処理要求を受け付けなくなる。""]","1","26",
"ap-2025-q027","ap-2025-autumn-morning","“売上”表への次の検索処理のうち，B<sup>+</sup>木インデックスよりもハッシュインデックスを設定した方が適切なものはどれか。ここで，インデックスを設定する列を＜＞内に示す。

売上（伝票番号，売上年月日，商品名，利用者 ID，店舗番号，売上金額）","[""売上金額が 1 万円以上の売上を検索する。＜売上金額＞"",""売上年月日が今月の売上を検索する。＜売上年月日＞"",""商品名が ‘DB’ で始まる売上を検索する。＜商品名＞"",""利用者 ID が ‘1001’ の売上を検索する。＜利用者 ID＞""]","3","27",
"ap-2025-q028","ap-2025-autumn-morning","関係データベースのビューに関する記述のうち，適切なものはどれか。","[""ビューの列名は，基の表の列名と異なる名称で定義することができる。"",""ビューは，基の表から指定した列を抜き出すように定義するものであり，行を抜き出すように定義することはできない。"",""二つ以上の表の結合によって定義されたビューは，結合の仕方によらず更新操作ができる。"",""和両立な二つの表に対し，和集合演算を用いてビューを定義することはできない。""]","0","28",
"ap-2025-q029","ap-2025-autumn-morning","RDBMS において，同じデータ項目の異なる版を用意することによって，トランザクションの同時実行性を高める仕組みはどれか。","[""2相ロッキングプロトコル"",""MVCC"",""WAL プロトコル"",""共有ロック""]","1","29",
"ap-2025-q030","ap-2025-autumn-morning","100M ビット／秒の LAN と 1G ビット／秒の LAN がある。ヘッダーを含めて 1,250 バイトのパケットを N 個送信するときに，100M ビット／秒の LAN の送信時間が 1G ビット／秒の LAN より 9ミリ秒多く掛かった。N は幾らか。ここで，いずれの LAN においても，パケットの送信間隔（パケットの送信が完了してから次のパケットを送信開始するまでの時間）は 1ミリ秒であり，パケット送信間隔も送信時間に含める。","[""10"",""80"",""100"",""800""]","2","30",
"ap-2025-q031","ap-2025-autumn-morning","リバースプロキシの説明として，適切なものはどれか。","[""インターネットから内部ネットワークの公開 Web サーバへの通信を，中継するために利用される。"",""インターネットと内部ネットワークとの通信を監視し，インターネットからの攻撃を検知するための技術である。"",""仮想的な専用ネットワークを確立するための技術である。"",""内部ネットワークの PC からインターネットへの通信を，中継するために利用される。""]","0","31",
"ap-2025-q032","ap-2025-autumn-morning","IPv4 のアドレス割当てを行う際に，クラス A〜C といった区分にとらわれずに，ネットワークアドレス部とホストアドレス部を任意のブロック単位に区切り，IP アドレスを無駄なく効率的に割り当てる方式はどれか。","[""CIDR"",""DHCP"",""DNS"",""NAPT""]","0","32",
"ap-2025-q033","ap-2025-autumn-morning","UDP のヘッダーフィールドにはないが，TCP のヘッダーフィールドには含まれる情報はどれか。","[""宛先ポート番号"",""シーケンス番号"",""送信元ポート番号"",""チェックサム""]","1","33",
"ap-2025-q034","ap-2025-autumn-morning","複数台のレイヤー2 スイッチで構成されるネットワークが複数の経路をもつ場合に，イーサネットフレームのループが発生することがある。そのループの発生を防ぐための TCP/IP ネットワークインタフェース層のプロトコルはどれか。","[""IGMP"",""RIP"",""SIP"",""スパニングツリープロトコル""]","3","34",
"ap-2025-q035","ap-2025-autumn-morning","ビット誤り率が 0.0001% の回線を使って，1,500 バイトのパケットを 10,000 個送信するとき，誤りが含まれるパケットの個数の期待値はおよそ幾らか。","[""10"",""15"",""80"",""120""]","3","35",
"ap-2025-q036","ap-2025-autumn-morning","サイバー攻撃の攻撃段階をモデル化したサイバーキルチェーンにおいて，“エクスプロイト”に該当する行為はどれか。","[""公開情報の閲覧，顧客を装った電子メールでの問合せなどを行い，標的とする組織を調査する。"",""標的とする組織の PC で OS の<ruby>脆弱性<rt>ぜいじゃくせい</rt></ruby>を悪用し，攻撃ツールを実行させる。"",""標的とする組織のサーバから秘密情報を窃取し，攻撃者が用意したサーバに送信する。"",""標的とする組織の従業員にマルウェアを添付した電子メールを送りつける。""]","1","36",
"ap-2025-q037","ap-2025-autumn-morning","デジタル署名が付与されたソフトウェアをインストールするときに，そのソフトウェアの発行元を確認するために使用する証明書はどれか。","[""EV SSL 証明書"",""クライアント証明書"",""コードサイニング証明書"",""サーバ証明書""]","2","37",
"ap-2025-q038","ap-2025-autumn-morning","サイドチャネル攻撃はどれか。","[""暗号化処理時における暗号化装置の消費電力などの測定や統計処理によって，当該装置内部の秘密情報を推定する攻撃"",""攻撃者が任意に選択した平文とその平文に対応した暗号文から数学的手法を用いて暗号鍵を推測し，同じ暗号鍵を用いて作成された暗号文を解読する攻撃"",""操作中の人の横から，入力操作の内容を観察することによって，利用者 ID とパスワードを盗み取る攻撃"",""無線 LAN のアクセスポイントを不正に設置し，チャネル間の干渉を発生させることによって，通信を妨害する攻撃""]","0","38",
"ap-2025-q039","ap-2025-autumn-morning","CRL に関する記述のうち，適切なものはどれか。","[""RFC 5280 では，認証局は，発行したデジタル証明書のうち失効したものについては，シリアル番号を失効後 1 年間 CRL に記載するよう義務付けている。"",""Web サイトの利用者の Web ブラウザは，その Web サイトにサーバ証明書を発行した認証局の公開鍵が Web ブラウザに組み込まれていれば，CRL を参照しなくてもよい。"",""認証局は，発行した全てのデジタル証明書の有効期限を CRL に記載する。"",""認証局は，有効期限内のデジタル証明書が失効されたとき，そのシリアル番号を CRL に記載する。""]","3","39",
"ap-2025-q040","ap-2025-autumn-morning","ある組織では CSIRT と PSIRT が設置されている。セキュリティインシデントのうち，PSIRT が対応するものはどれか。","[""組織が顧客に販売した製品とその利用において発生したセキュリティインシデント"",""組織が製品の在庫を管理するシステムにおいて発生したセキュリティインシデント"",""組織が製品の販売を管理するシステムにおいて発生したセキュリティインシデント"",""組織の従業員の個人情報を管理するシステムにおいて発生したセキュリティインシデント""]","0","40",
"ap-2025-q041","ap-2025-autumn-morning","JIS Q 27000:2019（情報セキュリティマネジメントシステムー用語）における真正性及び信頼性に対する定義 a 〜 d の組みのうち，適切なものはどれか。

〔定義〕
a 意図する行動と結果とが一貫しているという特性
b エンティティは，それが主張するとおりのものであるという特性
c 認可されたエンティティが要求したときに，アクセス及び使用が可能であるという特性
d 認可されていない個人，エンティティ又はプロセスに対して，情報を使用させず，また，開示しないという特性

| | 真正性 | 信頼性 |
|---|---|---|","[""b / a"",""b / c"",""d / a"",""d / c""]","0","41",
"ap-2025-q042","ap-2025-autumn-morning","CSPM (Cloud Security Posture Management) はどれか。","[""クラウドサービスにおける情報漏えいなどのリスクを低減するために，設定の監視を行ったり，自動的に不備を修正したりするサービス"",""従業員からの情報セキュリティマネジメントシステムに関する問合せに応じ，必要な支援を行うクラウドサービス"",""従業員によるインターネット上の SaaS の利用状況を可視化することによって，ポリシー違反を検出し，接続制限を行うサービス"",""ファイアウォール，マルウェア検知などのセキュリティ機能を統合し，パッケージとして提供するクラウドサービス""]","0","42",
"ap-2025-q043","ap-2025-autumn-morning","脆弱性<sup>ぜい</sup>検査で，ホストに対してポートスキャンを行う。スキャンしたポートの状態を判定する方法のうち，適切なものはどれか。","[""ポートに SYN パケットを送信して “RST/ACK” パケットを受信したとき，接続要求が許可されたと判定する。"",""ポートに SYN パケットを送信して “SYN/ACK” パケットを受信したとき，接続要求が中断又は拒否されたと判定する。"",""ポートに UDP パケットを送信してメッセージ “ICMP port unreachable” を受信したとき，対象ポートが閉じていると判定する。"",""ポートに UDP パケットを送信してメッセージ “ICMP port unreachable” を受信したとき，対象ポートが開いていると判定する。""]","2","43",
"ap-2025-q044","ap-2025-autumn-morning","デジタルフォレンジックスの手順は収集、検査、分析及び報告から成る。このとき、デジタルフォレンジックスの手順に含まれるものはどれか。","[""サーバとネットワーク機器のログをログ管理サーバに集約し、リアルタイムに相関分析することによって、不正アクセスを検出する。"",""サーバのハードディスクを解析し、削除されたログファイルを復元することによって、不正アクセスの痕跡を発見する。"",""電子メールを外部に送る際に、本文及び添付ファイルを暗号化することによって、情報漏えいを防ぐ。"",""プログラムを実行する際に、プログラムファイルのハッシュ値と暗蔵情報とを突き合わせることによって、プログラムがマルウェアかどうかを検査する。""]","1","44",
"ap-2025-q045","ap-2025-autumn-morning","電子メールの送信時に、送信側メールサーバでデジタル署名を電子メールヘッダーに付与し、受信側メールサーバでそれを検査することで、送信元ドメインのなりすましや電子メールの改ざんを検知できる技術はどれか。","[""DKIM"",""OP25B"",""S/MIME"",""SPF""]","0","45",
"ap-2025-q046","ap-2025-autumn-morning","ソフトウェアの要件定義における利用者の分析で活用される、ソフトウェアの利用者を役割ごとに典型的な姿として描いた仮想の人物を何と呼ぶか。","[""エピック"",""ステークホルダー"",""プロダクトオーナー"",""ペルソナ""]","3","46",
"ap-2025-q047","ap-2025-autumn-morning","UML のダイアグラムのうち，インスタンス間の関係を表現するものはどれか。","[""アクティビティ図"",""オブジェクト図"",""コンポーネント図"",""ユースケース図""]","1","47",
"ap-2025-q048","ap-2025-autumn-morning","エラー埋込み法を用いて残存エラー数を推定する。当初の埋込みエラーは 48 個である。テスト期間中に発見されたエラーの内訳は，埋込みエラーが 36 個，真のエラーが 42 個である。このとき，残存する真のエラーは何個と推定されるか。","[""6"",""14"",""54"",""56""]","1","48",
"ap-2025-q049","ap-2025-autumn-morning","Web アプリケーションソフトウェアの処理方式の説明のうち，“プログレッシブ Web アプリ”の説明として，適切なものはどれか。","[""Web サーバ上に実行可能なプログラムを用意し，Web ブラウザからの要求に応じて，Web サーバがそのプログラムを呼び出し，処理結果を Web ブラウザに送信する。"",""Web ページの要素にその意味を表すメタデータを付加することによって，コンピュータが自動的に Web ページの情報の収集や加工を行えるようにする。"",""新しい Web サービスを，他のサービスが公開する WebAPI の機能を組み合わせることによって提供する。"",""ブラウザが実行するサービスワーカーの機能を用いて，Web アプリケーションをオフラインで起動させたり，バックグラウンドでデータを同期させたりして，ネイティブアプリケーションであるかのように Web アプリケーションを使えるようにする。""]","3","49",
"ap-2025-q050","ap-2025-autumn-morning","委託元への著作権の移転に関する条項を含むソフトウェア開発委託契約書に、“委託先は著作者人格権を行使しない”という記載があった。これはどのような問題の発生を防ぐためのものか。","[""委託先で当該ソフトウェアを開発した開発者が，技術者倫理に関しての責任を負わなくなることを防ぐ。"",""委託先で当該ソフトウェアを開発した開発者を，委託元が後で雇用できなくなることを防ぐ。"",""納品されたソフトウェアに不具合が発見された場合に，委託先が金銭的補償を負わなくなることを防ぐ。"",""納品されたソフトウェアを委託先の了解なく委託元で修正できなくなること，又は他の会社に修正を依頼できなくなることを防ぐ。""]","3","50",
"ap-2025-q051","ap-2025-autumn-morning","プロジェクトマネジメントにおいて，スコープを対象とするプロセスを集めた対象群“スコープ”に含まれるプロセスはどれか。","[""WBS の作成"",""活動期間の見積り"",""コストの見積り"",""予算の作成""]","0","51",
"ap-2025-q052","ap-2025-autumn-morning","チームの発展段階を五つに区分したタックマンモデルによれば，メンバーの異なる考え方や価値観が明確になり，メンバーがそれぞれの意見を主張し合う段階はどれか。","[""安定期 (Norming)"",""遂行期 (Performing)"",""成立期 (Forming)"",""動乱期 (Storming)""]","3","52",
"ap-2025-q053","ap-2025-autumn-morning","あるプロジェクトは4月から9月までの6か月間で開発を進めており，現在のメンバー全員が9月末まで作業すれば完了する見込みである。しかし，他のプロジェクトで発生した緊急の案件に対応するために，8月初めから，4人のメンバーがプロジェクトから外れることになった。9月末に予定どおり開発を完了させるために，7月の半ばからメンバーを増員する。条件に従うとき，人件費は何万円増加するか。

〔条件〕
・元のメンバーと増員するメンバーの，プロジェクトにおける生産性は等しい。
・7月の半ばから7月末までの0.5か月間，元のメンバー4人から増員するメンバーに引継ぎを行う。
・引継ぎの期間中は，元のメンバー4人と増員するメンバーはプロジェクトの開発作業を実施しないが，人件費は全額をこのプロジェクトに計上する。
・人件費は，1人月当たり100万円とする。","[""200"",""250"",""450"",""700""]","2","53",
"ap-2025-q054","ap-2025-autumn-morning","自動生産システムの増強に関する次のデシジョンツリーにおいて，新規にシステムを開発する場合の期待金額価値（EMV）は何億円か。

![Decision tree for production system expansion showing options for new system development and existing system modification with associated probabilities and revenues.](page_26_image_1_v2.jpg)","[""14"",""20"",""26"",""64""]","2","54",
"ap-2025-q055","ap-2025-autumn-morning","サービスマネジメントのサービス可用性管理において，インシデント又は将来インシデントとなる可能性のある事象について，その発生経路及び発生原因を分析し，発生確率の算出に使用できる技法はどれか。","[""故障の木解析（FTA）"",""故障モード・影響解析（FMEA）"",""コンポーネント障害インパクト分析（CFIA）"",""単一障害点分析（SPOF 分析）""]","0","55",
"ap-2025-q056","ap-2025-autumn-morning","サービスマネジメントにおける問題管理の活動はどれか。","[""根本原因の特定"",""サービス要求の優先度付け"",""変更要求の記録"",""リリースの検証""]","0","56",
"ap-2025-q057","ap-2025-autumn-morning","生成 AI の処理などで用いられる，大量に発熱する GPU を搭載したサーバを，空気冷却よりも少ない消費電力で効率良く冷却できる液体冷却の一つに液浸冷却がある。液体冷却の方法の説明のうちで，液浸冷却の方法の説明に該当するものの組みはどれか。

〔液体冷却の方法の説明〕
a 液体を循環させて熱交換器で冷やす単相冷却と，気化熱を利用する二相冷却とがある。
b サーバに取り付けた金属板と熱交換してサーバを冷却する。
c サーバを<ruby>筐体<rt>きょうたい</rt></ruby>ごと液体に漬けて冷却する。
d 冷媒となる液体として通常は水を使用する。","[""a, b"",""a, c"",""b, d"",""c, d""]","1","57",
"ap-2025-q058","ap-2025-autumn-morning","システム監査基準（令和5年）において，システム監査で使用される用語の説明として，適切なものはどれか。","[""所見とは，他の標準的な監査人が監査を実施した場合であっても同じ検証結果を得られることである。"",""正当な懐疑心とは，客観性の保持という精神的な態度を堅持できることである。"",""正当な注意とは，監査で発見したことに基づく考えや意見のことである。"",""独立性とは，第三者から不当な影響や圧力等を受けていない状態のことである。""]","3","58",
"ap-2025-q059","ap-2025-autumn-morning","システム監査報告書の改善提案に対し，システム監査人が行うフォローアップとして，適切なものはどれか。","[""改善提案に対する改善の実施を監査対象部門の長に指示する。"",""改善提案に対する監査対象部門の改善実施プロジェクトの管理を行う。"",""改善提案に対する監査対象部門の改善状況をモニタリングする。"",""改善提案の内容を監査対象部門に示した上で改善計画を策定する。""]","2","59",
"ap-2025-q060","ap-2025-autumn-morning","システム監査基準（令和5年）に従い，監査目的に基づいて，ガバナンス，マネジメント，コントロールの視点から検証・評価を行う。“コントロールの視点”から行う項目はどれか。","[""IT投資の結果が適切なリターンを生んでいるか。"",""異常なアクセスを検出した際に適時に対処及び報告がなされているか。"",""情報セキュリティ対策がPDCAサイクルに基づいて適切に管理されているか。"",""新技術や技術革新を経営戦略推進のために適時適切に利活用できているか。""]","1","60",
"ap-2025-q061","ap-2025-autumn-morning","事業目標達成のためのプログラムマネジメントの考え方として，適切なものはどれか。","[""活動全体を複数のプロジェクトの結合体と捉え，複数のプロジェクトの連携，統合，相互作用を通じて価値を高め，組織全体の戦略の実現を図る。"",""個々のプロジェクト管理を更に細分化することによって，プロジェクトに必要な技術や確保すべき経営資源の明確化を図る。"",""システムの開発に使用するプログラム言語や開発手法を早期に検討することによって，開発リスクを低減し，投資効果の最大化を図る。"",""リスクを最小化するように支援する専門組織を設けることによって，組織全体のプロジェクトマネジメントの能力と品質の向上を図る。""]","0","61",
"ap-2025-q062","ap-2025-autumn-morning","SOA の説明はどれか。","[""会計，人事，製造，購買，在庫管理，販売などの企業の業務プロセスを一元管理することによって，業務の効率化や経営資源の全体最適を図る手法"",""企業の業務プロセス，システム化要求などのニーズと，ソフトウェアパッケージの機能性がどれだけ適合し，どれだけかい離しているかを分析する手法"",""業務プロセスの問題点を洗い出して，目標設定，実行，チェック，修正行動のマネジメントサイクルを適用し，継続的な改善を図る手法"",""利用者の視点から業務システムの機能を幾つかの独立した部品に分けることによって，業務プロセスとの対応付けや他ソフトウェアとの連携を容易にする手法""]","3","62",
